Genome ID,AAC(3)-IId,AAC(3)-IIe,AAC(3)-IV,AAC(3)-Ia,AAC(6')-29a,AAC(6')-33,AAC(6')-IIa,AAC(6')-IIc,AAC(6')-Ib-cr,AAC(6')-Ib10,AAC(6')-Ib7,AAC(6')-Ib9,AAC(6')-Il,AAC(6')-Im,ANT(2'')-Ia,ANT(3'')-IIa,APH(2'')-IIa,APH(3'')-Ib,APH(3')-Ia,APH(3')-VI,APH(3')-VIa,APH(4)-Ia,APH(6)-Id,BKC-1,CARB-3,CMY-59,CTX-M-1,CTX-M-101,CTX-M-14,CTX-M-15,CTX-M-2,CTX-M-27,CTX-M-3,CTX-M-65,CTX-M-9,CTX-M-98,DHA-1,DHA-6,EreA2,ErmB,FOX-5,FosA3,FosA5,FosA6,FosA7,IMP-14,KPC-1,KPC-3,KPC-8,Klebsiella_pneumoniae_KpnE,Klebsiella_pneumoniae_KpnF,Klebsiella_pneumoniae_KpnG,Klebsiella_pneumoniae_OmpK37,Klebsiella_pneumoniae_acrA,LAP-2,LEN-10,LEN-16,LEN-17,LEN-18,LEN-2,LEN-26,LEN-30,LEN-55,LEN-9,MCR-9,NDM-1,NDM-5,OKP-A-3,OKP-A-5,OKP-A-7,OKP-B-19,OKP-B-3,OKP-B-5,OKP-B-6,OKP-B-8,OXA-1,OXA-10,OXA-181,OXA-2,OXA-232,OXA-48,OXA-9,QnrA1,QnrA7,QnrB17,QnrB20,QnrB4,QnrB5,QnrB58,QnrS1,SAT-1,SCO-1,SHV-1,SHV-100,SHV-101,SHV-105,SHV-106,SHV-107,SHV-108,SHV-11,SHV-110,SHV-119,SHV-12,SHV-120,SHV-121,SHV-134,SHV-142,SHV-143,SHV-155,SHV-161,SHV-172,SHV-178,SHV-182,SHV-185,SHV-187,SHV-2,SHV-26,SHV-27,SHV-30,SHV-33,SHV-36,SHV-42,SHV-44,SHV-5,SHV-52,SHV-60,SHV-65,SHV-76,SHV-77,SHV-86,TEM-1,TEM-104,TEM-12,TEM-122,TEM-15,TEM-150,TEM-158,TEM-206,TEM-79,VEB-1,VEB-5,VIM-19,VIM-27,aadA13,aadA16,aadA2,aadA5,armA,arr-2,arr-3,catB11,catB3,catI,catII_from_Escherichia_coli_K-12,cmlA1,cmlA4,cmlA5,cmlA6,determinant_of_bleomycin_resistance,dfrA1,dfrA12,dfrA14,dfrA15,dfrA17,dfrA19,dfrA22,dfrA23,dfrA26,dfrA27,dfrA30,dfrA5,dfrA7,dfrA8,dfrB3,floR,mphA,mphE,msrE,oqxA,oqxB,qacH,rmtB,rmtC,rmtF,sul1,sul2,sul3,tet(A),tet(B),tet(C),tet(D),tet(G),tet(W/N/W),tetM,tetW,Genome Name_x,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified,Taxon ID,Genome Name_y,Antibiotic,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,SEQUENCE,Resistant Phenotype
573.13031,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1000ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1000ec,,,,MLST.Klebsiella_pneumoniae.280,,,,,,,,,,,,genotype:ST280; Capsule locus KL23,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437883,SRR5385822,,Houston Methodist Hospital,WGS,,,,,,71,5443843,57.35,10,202176,72,9,,5343,99.4,97.9,0.3,100,,DRAIN,,2013-06-21 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:51:30.058Z,2017-08-08T15:51:30.058Z,573,Klebsiella pneumoniae KPN1000ec,meropenem,1,<=,1,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13031,Susceptible
573.13032,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1001ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1001ec,,,,MLST.Klebsiella_pneumoniae.628,,,,,,,,,,,,genotype:STNF*; Capsule locus KL2,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437884,SRR5385821,,Houston Methodist Hospital,WGS,,,,,,92,5413989,57.39,13,132946,59,6,,5320,99.3,97.2,,100,,URINE,,2013-06-20 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:54:07.717Z,2017-08-08T15:54:07.717Z,573,Klebsiella pneumoniae KPN1001ec,meropenem,1,<=,1,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13032,Susceptible
573.13033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Klebsiella pneumoniae KPN1002ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1002ec,,,,MLST.Klebsiella_pneumoniae.307,,,,,,,,,,,,genotype:ST307; Capsule locus KL102,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437885,SRR5385820,,Houston Methodist Hospital,WGS,,,,,,77,5374225,57.34,11,165568,74,5,,5312,99.5,97.9,,100,,WOUND,,2013-06-20 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:54:26.777Z,2017-08-08T15:54:26.777Z,573,Klebsiella pneumoniae KPN1002ec,meropenem,1,<=,1,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13033,Susceptible
573.13034,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1004ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1004ec,,,,MLST.Klebsiella_pneumoniae.258,,,,,,,,,,,,genotype:STNF*; Capsule locus KL106,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437886,SRR5385819,,Houston Methodist Hospital,WGS,,,,,,151,5562854,57.16,16,130070,67,10,,5637,99.5,98,0.3,100,,URINE,,2013-10-15 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:56:12.274Z,2017-08-08T15:56:12.274Z,573,Klebsiella pneumoniae KPN1004ec,meropenem,8,>,8,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13034,Resistant
573.13035,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Klebsiella pneumoniae KPN1005ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1005ec,,,,MLST.Klebsiella_pneumoniae.307,,,,,,,,,,,,genotype:ST307; Capsule locus KL102,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437887,SRR5385818,,Houston Methodist Hospital,WGS,,,,,,100,5406672,57.33,12,140783,65,5,,5353,99.4,97.8,,100,,URINE,,2013-10-11 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:55:27.616Z,2017-08-08T15:55:27.616Z,573,Klebsiella pneumoniae KPN1005ec,meropenem,1,<=,1,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13035,Susceptible
573.13036,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1007ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1007ec,,,,MLST.Klebsiella_pneumoniae.280,,,,,,,,,,,,genotype:ST280; Capsule locus KL23,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437889,SRR5385816,,Houston Methodist Hospital,WGS,,,,,,67,5450813,57.32,10,210128,71,9,,5371,99.5,97.8,0.3,100,,RESPIRATORY,,2013-10-09 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:56:02.682Z,2017-08-08T15:56:02.682Z,573,Klebsiella pneumoniae KPN1007ec,meropenem,1,<=,1,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13036,Susceptible
573.13037,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1010ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1010ec,,,,MLST.Klebsiella_pneumoniae.14,,,,,,,,,,,,genotype:ST14; Capsule locus KL2,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437890,SRR5385815,,Houston Methodist Hospital,WGS,,,,,,146,5794588,56.8,19,105152,58,7,,5744,99.6,97.4,0.7,100,,URINE,,2013-10-09 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:57:59.321Z,2017-08-08T15:57:59.321Z,573,Klebsiella pneumoniae KPN1010ec,meropenem,8,>,8,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13037,Resistant
573.13038,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1011ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1011ec,,,,MLST.Klebsiella_pneumoniae.280,,,,,,,,,,,,genotype:ST280; Capsule locus KL23,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437891,SRR5385814,,Houston Methodist Hospital,WGS,,,,,,79,5455688,57.3,12,166027,65,8,,5381,99.5,97.9,0.3,100,,URINE,,2013-10-02 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:57:11.288Z,2017-08-08T15:57:11.288Z,573,Klebsiella pneumoniae KPN1011ec,meropenem,1,<=,1,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13038,Susceptible
573.13039,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1012ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1012ec,,,,MLST.Klebsiella_pneumoniae.258,,,,,,,,,,,,genotype:ST258; Capsule locus KL106,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437892,SRR5385813,,Houston Methodist Hospital,WGS,,,,,,130,5516398,57.22,14,129387,70,9,,5552,99.6,97.9,0.3,100,,URINE,,2013-10-07 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:57:20.330Z,2017-08-08T15:57:20.330Z,573,Klebsiella pneumoniae KPN1012ec,meropenem,8,>,8,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13039,Resistant
573.13041,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Klebsiella pneumoniae KPN1014ec,,573,131567;2;1224;1236;91347;543;2890311;570;573,cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,WGS,KPN1014ec,,,,MLST.Klebsiella_pneumoniae.258,,,,,,,,,,,,genotype:ST258; Capsule locus KL106,,,,Good,2017-05-16T00:00:00Z,2.85121E+15,,PRJNA376414,SAMN06437894,SRR5385811,,Houston Methodist Hospital,WGS,,,,,,100,5469087,57.26,12,129648,64,8,,5459,99.5,97.9,0.3,100,,PUS,,2013-09-30 00:00:00,2013,,USA,North America,USA: Houston,,"Human, Homo sapiens",Human,,,,Human,,,,,,2017-08-08T15:57:49.500Z,2017-08-08T15:57:49.500Z,573,Klebsiella pneumoniae KPN1014ec,meropenem,1,<=,1,mg/L,Broth dilution,,BD Phoenix,,CLSI,2017,,,,Laboratory Method,,28512093;28776045,573.13041,Susceptible
