AAC(3)-IId,AAC(3)-IIe,AAC(3)-IV,AAC(3)-Ia,AAC(6')-29a,AAC(6')-33,AAC(6')-IIa,AAC(6')-IIc,AAC(6')-Ib-cr,AAC(6')-Ib10,AAC(6')-Ib7,AAC(6')-Ib9,AAC(6')-Il,AAC(6')-Im,ANT(2'')-Ia,ANT(3'')-IIa,APH(2'')-IIa,APH(3'')-Ib,APH(3')-Ia,APH(3')-VI,APH(3')-VIa,APH(4)-Ia,APH(6)-Id,BKC-1,CARB-3,CMY-59,CTX-M-1,CTX-M-101,CTX-M-14,CTX-M-15,CTX-M-2,CTX-M-27,CTX-M-3,CTX-M-65,CTX-M-9,CTX-M-98,DHA-1,DHA-6,EreA2,ErmB,FOX-5,FosA3,FosA5,FosA6,FosA7,IMP-14,KPC-1,KPC-3,KPC-8,Klebsiella_pneumoniae_KpnE,Klebsiella_pneumoniae_KpnF,Klebsiella_pneumoniae_KpnG,Klebsiella_pneumoniae_OmpK37,Klebsiella_pneumoniae_acrA,LAP-2,LEN-10,LEN-16,LEN-17,LEN-18,LEN-2,LEN-26,LEN-30,LEN-55,LEN-9,MCR-9,NDM-1,NDM-5,OKP-A-3,OKP-A-5,OKP-A-7,OKP-B-19,OKP-B-3,OKP-B-5,OKP-B-6,OKP-B-8,OXA-1,OXA-10,OXA-181,OXA-2,OXA-232,OXA-48,OXA-9,QnrA1,QnrA7,QnrB17,QnrB20,QnrB4,QnrB5,QnrB58,QnrS1,SAT-1,SCO-1,SHV-1,SHV-100,SHV-101,SHV-105,SHV-106,SHV-107,SHV-108,SHV-11,SHV-110,SHV-119,SHV-12,SHV-120,SHV-121,SHV-134,SHV-142,SHV-143,SHV-155,SHV-161,SHV-172,SHV-178,SHV-182,SHV-185,SHV-187,SHV-2,SHV-26,SHV-27,SHV-30,SHV-33,SHV-36,SHV-42,SHV-44,SHV-5,SHV-52,SHV-60,SHV-65,SHV-76,SHV-77,SHV-86,TEM-1,TEM-104,TEM-12,TEM-122,TEM-15,TEM-150,TEM-158,TEM-206,TEM-79,VEB-1,VEB-5,VIM-19,VIM-27,aadA13,aadA16,aadA2,aadA5,armA,arr-2,arr-3,catB11,catB3,catI,catII_from_Escherichia_coli_K-12,cmlA1,cmlA4,cmlA5,cmlA6,determinant_of_bleomycin_resistance,dfrA1,dfrA12,dfrA14,dfrA15,dfrA17,dfrA19,dfrA22,dfrA23,dfrA26,dfrA27,dfrA30,dfrA5,dfrA7,dfrA8,dfrB3,floR,mphA,mphE,msrE,oqxA,oqxB,qacH,rmtB,rmtC,rmtF,sul1,sul2,sul3,tet(A),tet(B),tet(C),tet(D),tet(G),tet(W/N/W),tetM,tetW,Other Names,NCBI Taxon ID,Biovar,Pathovar,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Culture Collection,Type Strain,Reference,Publication,Authors,Chromosome,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Comments,Collection Year,Season,Other Environmental,Lab Host,Passage,Laboratory Typing Method Version,Computational Method Performance
0.0,0.0366302,0.0028800862,0.0,0.0,0.0,0.0,0.0,0.119126044,-0.044970464,0.00207573,0.0,0.0,0.0,0.0,0.0045167995,0.0,-0.006798443,0.14800301,0.0,0.0,0.0,-0.029748956,0.0,0.0007327197,0.0,0.0,0.0,0.0,0.3233357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025375823,0.0,0.0,0.0,-2.3330646,-0.215993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048808694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08368586,0.0,0.0,0.0,0.0,-0.006769119,-0.079318695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027829828,0.0,0.0,0.0,0.04367559,0.0,0.0,0.0,0.0013064516,0.0,0.0,0.0,0.0,0.038281444,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,-0.0947498,0.0,0.0,0.0,0.0,-0.016902516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021177905,0.0,0.0,0.028562428,0.0,0.0,0.050935566,0.0,-0.045316603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028927304,0.00077768293,0.0,-0.011062525,0.0,0.0,0.0,-0.07974979,0.0027534515,0.005302241,0.0,0.0,0.0,-0.031278815,-0.09149683,-0.011295734,-0.08597956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04786412,0.0,-0.026263356,0.001955647,-0.04772534,0.0041828896,0.0,0.0,0.0,0.13727985,-0.06549599,0.0,0.02489593,0.0,0.0,0.01505699,0.0,0.0,0.0,0.0,0.0,0.004802168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13238211,0.0,0.0,0.09309121,-0.039349485,-0.4520418,-0.44870874,-0.4166635,0.0,-0.86918247,-0.62430584,-0.12575983,-0.15072311,-0.056273863,0.0,0.0,-0.28824413,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.010232909,0.0017974054,0.0,0.0,0.0,0.0,0.0,0.029759835,-0.036411002,0.021567978,0.0,0.0,0.0,0.0,0.0045167995,0.0,0.025337512,-0.012098571,0.0,0.0,0.0,0.10886718,0.0,0.00070713623,0.0,0.0,0.0,0.0,-0.11085187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019981202,0.0,0.0,0.0,-2.1949182,-0.21346974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0820549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46240953,0.0,0.0,0.0,0.0,-0.006769119,-0.19900936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031722807,0.0,0.0,0.0,0.0038494626,0.0,0.0,0.0,0.0043789726,0.0,0.0,0.0,0.0,0.0414356,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,0.0023625572,0.0,0.0,0.0,0.0,-0.016902516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021177905,0.0,0.0,-0.07040055,0.0,0.0,0.039680358,0.0,-0.04273016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036464047,0.0007532441,0.0,-0.011241574,0.0,0.0,0.0,-0.10743706,0.035252366,0.0045577474,0.0,0.0,0.0,-0.050449304,-0.12084095,0.0014228564,0.11536156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018727934,0.0,-0.017734583,0.0022242519,-0.019180529,0.0041828896,0.0,0.0,0.0,-0.17397778,-0.05031016,0.0,-0.12613404,0.0,0.0,0.0057802247,0.0,0.0,0.0,0.0,0.0,-0.0283329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49824244,0.0,0.0,0.052476786,-0.1315873,-0.10168821,-0.9409083,-0.14790407,0.0,-0.20704144,-0.4881298,-0.0127966795,-0.6129844,-0.082938485,0.0,0.0,-0.13604553,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.00095112785,-0.061294556,0.0,0.0,0.0,0.0,0.0,0.110625125,0.06904864,0.0020966656,0.0,0.0,0.0,0.0,0.06291661,0.0,-0.005132274,-0.17340086,0.0,0.0,0.0,-0.032904662,0.0,0.0006087835,0.0,0.0,0.0,0.0,0.15841536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012276258,0.0,0.0,0.0,-1.1138543,3.4881024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018740252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06810156,0.0,0.0,0.0,0.0,-0.0029204653,-0.044349298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002524505,0.0,0.0,0.0,0.014462607,0.0,0.0,0.0,0.0043789726,0.0,0.0,0.0,0.0,-0.3671028,0.0,0.0,0.0,0.0,0.0,0.0,0.026288478,0.0,0.0016822984,0.0,0.0,0.0,0.0,-0.007106453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007924953,0.0,0.0,0.017329006,0.0,0.0,0.03216775,0.0,-0.013104102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006540533,0.0007532441,0.0,-0.007010426,0.0,0.0,0.0,0.2241919,0.010789756,-0.112584755,0.0,0.0,0.0,-0.020951662,-0.07393407,0.07953934,-0.021945588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10299379,0.0,-0.0046697166,0.002287165,-0.012706848,-0.06258133,0.0,0.0,0.0,-0.10232499,-0.027399078,0.0,0.0065772897,0.0,0.0,0.0017751945,0.0,0.0,0.0,0.0,0.0,0.0025341383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73745024,0.0,0.0,-0.39566135,-0.24168213,-0.21728952,1.5570804,0.7637937,0.0,-0.39818117,1.2700646,-0.052944154,-0.075959176,0.47117317,0.0,0.0,0.079931416,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.12881371,0.008536359,0.0,0.0,0.0,0.0,0.0,0.1593259,-0.014301697,0.0020932662,0.0,0.0,0.0,0.0,0.0045167995,0.0,-0.0043744138,0.11265737,0.0,0.0,0.0,-0.06498345,0.0,0.00044494448,0.0,0.0,0.0,0.0,-0.28723317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008822374,0.0,0.0,0.0,-2.1744993,-0.16935998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05449217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0776774,0.0,0.0,0.0,0.0,-0.006829356,-0.17457241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002474227,0.0,0.0,0.0,-0.06354326,0.0,0.0,0.0,0.0014393702,0.0,0.0,0.0,0.0,0.079396755,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,0.00199457,0.0,0.0,0.0,0.0,-0.016902516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02115168,0.0,0.0,-0.025697704,0.0,0.0,0.049856547,0.0,-0.021911794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008923179,0.0004814496,0.0,-0.010658921,0.0,0.0,0.0,-0.055277914,-0.4993555,0.006201518,0.0,0.0,0.0,-0.03545547,-0.06825676,0.009272484,0.018956792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021391993,0.0,-0.029361155,-0.08325441,0.3461035,0.0058451034,0.0,0.0,0.0,0.109348334,0.04603374,0.0,0.07321791,0.0,0.0,0.03239242,0.0,0.0,0.0,0.0,0.0,0.0025341383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08209749,0.0,0.0,-0.38468194,-0.0048802653,-0.2321886,-1.0058991,-0.21512449,0.0,-0.056435913,0.0008188691,-0.013020705,-0.04378751,-0.065515704,0.0,0.0,-0.12843025,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.059729733,0.008536359,0.0,0.0,0.0,0.0,0.0,0.14329284,-0.10836516,0.0013926844,0.0,0.0,0.0,0.0,0.0028013205,0.0,0.097664006,0.07466101,0.0,0.0,0.0,-0.0007661283,0.0,0.003530732,0.0,0.0,0.0,0.0,-0.055867955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010111318,0.0,0.0,0.0,5.2949286,-0.0929682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025400463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054870136,0.0,0.0,0.0,0.0,-0.0026178362,0.44836444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016190799,0.0,0.0,0.0,-0.061165333,0.0,0.0,0.0,0.0044507105,0.0,0.0,0.0,0.0,0.12932718,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,0.01383413,0.0,0.0,0.0,0.0,-0.005542215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007460458,0.0,0.0,-0.053179324,0.0,0.0,0.2625251,0.0,-0.010674517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09750838,0.0036079222,0.0,-0.0057113273,0.0,0.0,0.0,-0.0016195849,-0.09966713,0.019478675,0.0,0.0,0.0,-0.016863188,-0.056413796,0.07291714,0.16299471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30346757,0.0,-0.0076472987,0.010361884,-0.008936354,0.0041828896,0.0,0.0,0.0,0.08394836,-0.07241915,0.0,0.15350515,0.0,0.0,0.015572477,0.0,0.0,0.0,0.0,0.0,0.0049642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.070744604,0.0,0.0,-0.43628696,0.15090206,0.14148933,-0.7712436,0.02364313,0.0,1.0274934,0.060576387,-0.013088674,0.19930738,-0.008983485,0.0,0.0,0.25966737,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.022321872,0.002272437,0.0,0.0,0.0,0.0,0.0,0.070830345,-0.05880556,0.0034133152,0.0,0.0,0.0,0.0,0.0045167995,0.0,-0.005044796,0.05271248,0.0,0.0,0.0,-0.10226102,0.0,0.00044494448,0.0,0.0,0.0,0.0,-0.21034956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008822374,0.0,0.0,0.0,-2.1253443,-0.21892977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05442738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10551928,0.0,0.0,0.0,0.0,-0.006829356,-0.17374393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002459756,0.0,0.0,0.0,-0.027501047,0.0,0.0,0.0,0.003331921,0.0,0.0,0.0,0.0,0.038573414,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,0.002354424,0.0,0.0,0.0,0.0,-0.016902516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02115168,0.0,0.0,-0.016059093,0.0,0.0,0.052152365,0.0,-0.038578402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036464038,0.0004678949,0.0,-0.008968007,0.0,0.0,0.0,-0.06301128,0.028066363,0.0053040087,0.0,0.0,0.0,-0.030845625,-0.08604306,-0.007815291,-0.007983557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039885744,0.0,-0.017347453,0.002288903,-0.023313036,0.0041828896,0.0,0.0,0.0,-0.06350699,-0.023416592,0.0,0.02951364,0.0,0.0,0.008673796,0.0,0.0,0.0,0.0,0.0,0.004802168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20595708,0.0,0.0,0.47285303,-0.37692264,-0.9585815,-0.47658736,-0.21683261,0.0,-0.527466,-0.23054881,-0.21942234,-0.19589746,-0.079580545,0.0,0.0,-0.15306154,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.051304333,0.0013023118,0.0,0.0,0.0,0.0,0.0,0.11468369,-0.025878422,0.0020932662,0.0,0.0,0.0,0.0,0.0045167995,0.0,0.02998423,0.08936741,0.0,0.0,0.0,0.22427757,0.0,0.0007327197,0.0,0.0,0.0,0.0,0.33854663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019802636,0.0,0.0,0.0,-1.6209246,-0.14134948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00867013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055229858,0.0,0.0,0.0,0.0,-0.0034923377,-0.05627732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027568948,0.0,0.0,0.0,0.017548263,0.0,0.0,0.0,0.006090595,0.0,0.0,0.0,0.0,0.029553354,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,-0.0947498,0.0,0.0,0.0,0.0,-0.015809618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021177905,0.0,0.0,0.13641068,0.0,0.0,0.051576898,0.0,-0.042421244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009198878,0.0007532441,0.0,-0.009099555,0.0,0.0,0.0,-0.050046895,-0.45410943,0.004404732,0.0,0.0,0.0,-0.018193724,1.4847414,0.042644095,-0.07790061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017761182,0.0,-0.007678367,0.001806215,-0.017480636,0.0019721203,0.0,0.0,0.0,-0.09854324,0.19229718,0.0,-0.094316676,0.0,0.0,-0.11872442,0.0,0.0,0.0,0.0,0.0,0.07539837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13106146,0.0,0.0,-0.14494911,-0.33240342,-1.0473317,-0.49555323,-0.018108487,0.0,1.5222849,-0.6460757,0.11405075,-0.121213436,-0.091404326,0.0,0.0,0.39373487,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.014451895,0.0020611782,0.0,0.0,0.0,0.0,0.0,-0.6938869,-0.024281856,0.0034133152,0.0,0.0,0.0,0.0,0.0045167995,0.0,0.016242545,0.036289416,0.0,0.0,0.0,0.0038555544,0.0,0.00044494448,0.0,0.0,0.0,0.0,-0.16540617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008822374,0.0,0.0,0.0,-2.4362016,-0.21677785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054388866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12996027,0.0,0.0,0.0,0.0,-0.006829356,-0.06190626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020207765,0.0,0.0,0.0,0.0010809908,0.0,0.0,0.0,0.00097037153,0.0,0.0,0.0,0.0,0.040583,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,-0.0947498,0.0,0.0,0.0,0.0,-0.016902516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021210587,0.0,0.0,-0.053923313,0.0,0.0,0.0533278,0.0,-0.044408377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009198877,0.0004678949,0.0,-0.0113048535,0.0,0.0,0.0,-0.11342844,0.025791747,0.004404732,0.0,0.0,0.0,-0.030753812,-0.09086834,-0.0045859767,0.095569946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036452588,0.0,-0.02949322,0.0018660477,-0.04772534,0.0041828896,0.0,0.0,0.0,0.14019959,0.0044560204,0.0,-0.11656237,0.0,0.0,0.012957285,0.0,0.0,0.0,0.0,0.0,0.013711436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1391418,0.0,0.0,-0.7624957,0.030669428,-0.8457594,-0.3863336,-0.28515536,0.0,-1.5175513,-0.29850206,0.04234621,-0.14780813,-0.093417585,0.0,0.0,-0.34399694,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03929879,0.0035134633,0.0,0.0,0.0,0.0,0.0,0.14184001,-0.031043842,0.0034133152,0.0,0.0,0.0,0.0,0.0045167995,0.0,-0.008494145,0.07853526,0.0,0.0,0.0,-0.016119223,0.0,0.00038250303,0.0,0.0,0.0,0.0,-0.23924664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008822374,0.0,0.0,0.0,-1.8834463,-0.20547748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05642244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10800246,0.0,0.0,0.0,0.0,-0.006769119,-0.12616402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002257187,0.0,0.0,0.0,-0.0033395542,0.0,0.0,0.0,0.0013064516,0.0,0.0,0.0,0.0,0.094639674,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,0.002354424,0.0,0.0,0.0,0.0,-0.016902516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021177905,0.0,0.0,0.029589115,0.0,0.0,0.05690565,0.0,-0.019441301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007105439,0.00034661806,0.0,-0.011432705,0.0,0.0,0.0,-0.074635275,0.024893593,0.0055943546,0.0,0.0,0.0,-0.030432688,-0.09422784,-0.004541182,0.06547174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015822668,0.0,-0.029338146,0.0021416994,-0.046938997,0.0019721203,0.0,0.0,0.0,0.09693976,0.06018147,0.0,0.045859426,0.0,0.0,-0.2871494,0.0,0.0,0.0,0.0,0.0,0.0019759487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10684654,0.0,0.0,-0.2466821,0.16594458,0.23285133,-0.33748266,-0.058432363,0.0,-1.1211462,-0.0820857,0.13642368,-0.21112365,-0.04909105,0.0,0.0,0.2034098,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0028786627,0.008536359,0.0,0.0,0.0,0.0,0.0,-0.52710855,-0.055143528,0.0034133152,0.0,0.0,0.0,0.0,0.0045167995,0.0,0.013869044,0.054409236,0.0,0.0,0.0,0.005292168,0.0,0.0007327197,0.0,0.0,0.0,0.0,0.00186059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019981202,0.0,0.0,0.0,-2.264012,-0.18554261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042834897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18846168,0.0,0.0,0.0,0.0,-0.0056096525,-0.07090976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027829828,0.0,0.0,0.0,0.013655993,0.0,0.0,0.0,0.0043789726,0.0,0.0,0.0,0.0,0.10769437,0.0,0.0,0.0,0.0,0.0,0.0,0.002210693,0.0,-0.0947498,0.0,0.0,0.0,0.0,-0.015809618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021210587,0.0,0.0,-0.20497644,0.0,0.0,0.0481227,0.0,-0.018550059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010546478,0.00077768293,0.0,-0.011060796,0.0,0.0,0.0,-0.12537652,0.031598262,0.004404732,0.0,0.0,0.0,-0.02421828,1.374515,0.004836733,0.05304003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032508664,0.0,-0.029748287,0.0018432587,-0.015735887,0.0041828896,0.0,0.0,0.0,0.087012194,-0.13685644,0.0,0.15342394,0.0,0.0,0.015572477,0.0,0.0,0.0,0.0,0.0,0.0049642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1458099,0.0,0.0,-1.0422891,-0.050909027,-0.07995493,-0.9325409,-0.22507249,0.0,0.4588537,0.13890702,0.14788193,-0.17131807,-0.048599225,0.0,0.0,-0.19241272,0.0,0.0,0.0,0.0,0.0,0.0
