gene,mean_abs_shap,mechanism,drug_class
AAC(3)-IID,0,,
AAC(3)-IIE,0.045158,,
AAC(3)-IV,0.01044512,,
AAC(3)-IA,0,,
AAC(6')-29A,0,,
AAC(6')-33,0,,
AAC(6')-IIA,0,,
AAC(6')-IIC,0,,
AAC(6')-IB-CR,0.17721765,antibiotic inactivation,aminoglycoside antibiotic;fluoroquinolone antibiotic
AAC(6')-IB10,0.0711123,antibiotic inactivation,aminoglycoside antibiotic
AAC(6')-IB7,0.006833012,,
AAC(6')-IB9,0,,
AAC(6')-IL,0,,
AAC(6')-IM,0,,
ANT(2'')-IA,0,,
ANT(3'')-IIA,0.00972384,,
APH(2'')-IIA,0,,
APH(3'')-IB,0.018893925,,
APH(3')-IA,0.08998774,antibiotic inactivation,aminoglycoside antibiotic
APH(3')-VI,0,,
APH(3')-VIA,0,,
APH(4)-IA,0,,
APH(6)-ID,0.08341433,antibiotic inactivation,aminoglycoside antibiotic
BKC-1,0,,
CARB-3,0.001679451,,
CMY-59,0,,
CTX-M-1,0,,
CTX-M-101,0,,
CTX-M-14,0,,
CTX-M-15,0.12617372,antibiotic inactivation,cephalosporin;penicillin beta-lactam
CTX-M-2,0,,
CTX-M-27,0,,
CTX-M-3,0,,
CTX-M-65,0,,
CTX-M-9,0,,
CTX-M-98,0,,
DHA-1,0,,
DHA-6,0,,
EREA2,0,,
ERMB,0,,
FOX-5,0,,
FOSA3,0,,
FOSA5,0.003957683,,
FOSA6,0,,
FOSA7,0,,
IMP-14,0,,
KPC-1,2.7058475,Not in CARD,
KPC-3,0.32972193,antibiotic inactivation,carbapenem;cephalosporin;monobactam;penicillin beta-lactam
KPC-8,0,,
KLEBSIELLA_PNEUMONIAE_KPNE,0,,
KLEBSIELLA_PNEUMONIAE_KPNF,0,,
KLEBSIELLA_PNEUMONIAE_KPNG,0,,
KLEBSIELLA_PNEUMONIAE_OMPK37,0,,
KLEBSIELLA_PNEUMONIAE_ACRA,0,,
LAP-2,0,,
LEN-10,0,,
LEN-16,0,,
LEN-17,0,,
LEN-18,0,,
LEN-2,0,,
LEN-26,0,,
LEN-30,0,,
LEN-55,0,,
LEN-9,0,,
MCR-9,0,,
NDM-1,0.0948493,antibiotic inactivation,carbapenem;cephalosporin;penicillin beta-lactam
